,unique.plot,leaf.type,site,species,Site.Sample.Order,Field.Location,full.id,site.rep,OVT.Variety,variety.rep,OVT.Var.Entry,plot.rep,OVT.plot,Lat.N,Lon.W,plantHt,temp,humid,leaftemp.diff,soilmoist,NPQt,Phi2,PhiNO,PhiNPQ,PAR,Chla,leafthick,Yield,Test.Weight,Ear.Height,Soil.Type,Soil.Texture,CEC,HM_perc,pH,P.soil,K.soil,Ca.soil,Mg.soil,Mn.soil,Zn.soil,Cu.soil,Sample_Date,Elev,Precip_90day,LT_90day,HT_90day,MAP,MLT,MHT,LAI.ratio.type,LAI.mean,LAI.sd,LAI.reps,LAI.CV,Notes
1,100E,Ear,ROWVT,CRN,4,"right1 ,up5",100E-ROWVT-CRN-V1-P2,4,LC1586TC,1,685,2,201,35.69873,-80.62478,234.3,NA,NA,NA,20.27,NA,NA,NA,NA,NA,NA,NA,167.9169841,57.8,51,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/24/2019,220,311.5,6.6,34.9,1079.74,8.5,21.6,same as measurement for tassel,6.757187088,1.584802909,4,23.45358932,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
2,100T,Tassel,ROWVT,CRN,4,"right1 ,up5",100T-ROWVT-CRN-V1-P2,4,LC1586TC,1,685,2,201,35.69873,-80.62478,234.3,37.97,46.94,-0.02,13.59,1.53,0.48,0.23,0.29,894.06,55.66,0.377,167.9169841,57.8,51,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/19/2019,220,278.36,4.7,34.9,1079.74,8.5,21.6,no external sensor,6.757187088,1.584802909,4,23.45358932,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
3,101E,Ear,ROWVT,CRN,5,"right8 ,up6",101E-ROWVT-CRN-V3-P2,4,66G25,3,723,2,217,35.6988,-80.62467,224.5,NA,NA,NA,20.03,NA,NA,NA,NA,NA,NA,NA,190.7578887,55.2,45,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/24/2019,220,311.5,6.6,34.9,1079.74,8.5,21.6,same as measurement for tassel,6.275563152,1.180269938,4,18.8073948,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
4,101T,Tassel,ROWVT,CRN,5,"right8 ,up6",101T-ROWVT-CRN-V3-P2,4,66G25,3,723,2,217,35.6988,-80.62467,224.5,38.25,46.78,-0.25,16.09,1.81,0.49,0.18,0.33,827.46,63.1,0.353,190.7578887,55.2,45,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/19/2019,220,278.36,4.7,34.9,1079.74,8.5,21.6,no external sensor,6.275563152,1.180269938,4,18.8073948,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
5,102E,Ear,ROWVT,CRN,6,"right10 ,up7",102E-ROWVT-CRN-V2-P2,4,LC1289,2,714,2,234,35.6989,-80.62465,236,NA,NA,NA,20.96,NA,NA,NA,NA,NA,NA,NA,177.7809121,56.9,36,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/24/2019,220,311.5,6.6,34.9,1079.74,8.5,21.6,same as measurement for tassel,5.021897412,0.439684374,4,8.755343613,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
6,102T,Tassel,ROWVT,CRN,6,"right10 ,up7",102T-ROWVT-CRN-V2-P2,4,LC1289,2,714,2,234,35.6989,-80.62465,236,38.71,47.01,-0.01,15.93,1.24,0.51,0.22,0.27,779.18,57.6,0.233,177.7809121,56.9,36,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/19/2019,220,278.36,4.7,34.9,1079.74,8.5,21.6,no external sensor,5.021897412,0.439684374,4,8.755343613,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
7,103E,Ear,ROWVT,CRN,7,"right3 ,up12",103E-ROWVT-CRN-V1-P3,4,LC1586TC,1,685,3,346,35.6993,-80.62481,242,NA,NA,NA,20.92,NA,NA,NA,NA,NA,NA,NA,184.5139697,59.1,47,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/24/2019,220,311.5,6.6,34.9,1079.74,8.5,21.6,same as measurement for tassel,7.387097067,1.937091195,4,26.22263086,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
8,103T,Tassel,ROWVT,CRN,7,"right3 ,up12",103T-ROWVT-CRN-V1-P3,4,LC1586TC,1,685,3,346,35.6993,-80.62481,242,38.5,45.1,-0.25,20.19,1.68,0.56,0.17,0.27,684.39,64.6,0.323,184.5139697,59.1,47,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/19/2019,220,278.36,4.7,34.9,1079.74,8.5,21.6,no external sensor,7.387097067,1.937091195,4,26.22263086,"plots 7-12 soil collected slightly differently than plots 1-6 and other sites (due to very large clay clods from tilling); Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
9,104E,Ear,ROWVT,CRN,8,"right5 ,up12",104E-ROWVT-CRN-V2-P3,4,LC1289,2,714,3,344,35.6993,-80.62476,227,NA,NA,NA,19.16,NA,NA,NA,NA,NA,NA,NA,183.1596698,57.9,40,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/24/2019,220,311.5,6.6,34.9,1079.74,8.5,21.6,same as measurement for tassel,6.884324215,1.148703245,4,16.68578076,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
10,104T,Tassel,ROWVT,CRN,8,"right5 ,up12",104T-ROWVT-CRN-V2-P3,4,LC1289,2,714,3,344,35.6993,-80.62476,227,38.53,48.21,-0.31,18.38,1.26,0.6,0.18,0.22,698.83,58.45,0.43,183.1596698,57.9,40,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/19/2019,220,278.36,4.7,34.9,1079.74,8.5,21.6,no external sensor,6.884324215,1.148703245,4,16.68578076,"plots 7-12 soil collected slightly differently than plots 1-6 and other sites (due to very large clay clods from tilling); Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
11,105E,Ear,ROWVT,CRN,9,"right11 ,up12",105E-ROWVT-CRN-V3-P3,4,66G25,3,723,3,338,35.69932,-80.62466,222.5,NA,NA,NA,18.97,NA,NA,NA,NA,NA,NA,NA,167.8624881,56.7,44,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/24/2019,220,311.5,6.6,34.9,1079.74,8.5,21.6,same as measurement for tassel,5.452018106,0.506176252,4,9.284199762,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
12,105T,Tassel,ROWVT,CRN,9,"right11 ,up12",105T-ROWVT-CRN-V3-P3,4,66G25,3,723,3,338,35.69932,-80.62466,222.5,38.3,44.55,-0.11,18.82,2.65,0.46,0.15,0.39,1262.25,68.55,0.527,167.8624881,56.7,44,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/19/2019,220,278.36,4.7,34.9,1079.74,8.5,21.6,no external sensor,5.452018106,0.506176252,4,9.284199762,"plots 7-12 soil collected slightly differently than plots 1-6 and other sites (due to very large clay clods from tilling); Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
13,106E,Ear,ROWVT,CRN,10,"right12 ,up12",106E-ROWVT-CRN-V1-P4,4,LC1586TC,1,685,4,412,35.6993,-80.62466,229,NA,NA,NA,19.72,NA,NA,NA,NA,NA,NA,NA,193.1076984,55.9,NA,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/24/2019,220,311.5,6.6,34.9,1079.74,8.5,21.6,same as measurement for tassel,7.814835531,1.375275162,4,17.59826111,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
14,106T,Tassel,ROWVT,CRN,10,"right12 ,up12",106T-ROWVT-CRN-V1-P4,4,LC1586TC,1,685,4,412,35.6993,-80.62466,229,38.49,46.82,0.05,19.8,2.77,0.47,0.15,0.39,1134.15,61.84,0.327,193.1076984,55.9,NA,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/19/2019,220,278.36,4.7,34.9,1079.74,8.5,21.6,no external sensor,7.814835531,1.375275162,4,17.59826111,"plots 7-12 soil collected slightly differently than plots 1-6 and other sites (due to very large clay clods from tilling); Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
15,107E,Ear,ROWVT,CRN,11,"right12 ,up14",107E-ROWVT-CRN-V2-P4,4,LC1289,2,714,4,436,35.69947,-80.62465,232.5,NA,NA,NA,20.03,NA,NA,NA,NA,NA,NA,NA,219.5138214,55.6,NA,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/24/2019,220,311.5,6.6,34.9,1079.74,8.5,21.6,same as measurement for tassel,6.102819897,1.614079044,4,26.44808582,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
16,107T,Tassel,ROWVT,CRN,11,"right12 ,up14",107T-ROWVT-CRN-V2-P4,4,LC1289,2,714,4,436,35.69947,-80.62465,232.5,38.16,48.15,-0.99,19.97,0.92,0.64,0.19,0.17,308.06,63.68,0.66,219.5138214,55.6,NA,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/19/2019,220,278.36,4.7,34.9,1079.74,8.5,21.6,no external sensor,6.102819897,1.614079044,4,26.44808582,"plots 7-12 soil collected slightly differently than plots 1-6 and other sites (due to very large clay clods from tilling); Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
17,108E,Ear,ROWVT,CRN,12,"right5 ,up15",108E-ROWVT-CRN-V3-P4,4,66G25,3,723,4,429,35.69955,-80.62479,229,NA,NA,NA,20.99,NA,NA,NA,NA,NA,NA,NA,201.8931942,56.9,NA,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/24/2019,220,311.5,6.6,34.9,1079.74,8.5,21.6,same as measurement for tassel,6.871311474,1.531983166,4,22.29535325,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
18,108T,Tassel,ROWVT,CRN,12,"right5 ,up15",108T-ROWVT-CRN-V3-P4,4,66G25,3,723,4,429,35.69955,-80.62479,229,37.47,49.06,-1.11,20.79,2.7,0.43,0.16,0.41,1257.64,58.89,0.54,201.8931942,56.9,NA,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/19/2019,220,278.36,4.7,34.9,1079.74,8.5,21.6,no external sensor,6.871311474,1.531983166,4,22.29535325,"plots 7-12 soil collected slightly differently than plots 1-6 and other sites (due to very large clay clods from tilling); Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
234,97E,Ear,ROWVT,CRN,1,"right3 ,up2",97E-ROWVT-CRN-V1-P1,4,LC1586TC,1,685,1,122,35.69849,-80.62472,225.5,NA,NA,NA,22.62,NA,NA,NA,NA,NA,NA,NA,178.9975727,58,46,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,150,68.425,26880,3745.28,36.96,7.16,1.28,7/24/2019,220,311.5,6.6,34.9,1079.74,8.5,21.6,same as measurement for tassel,5.940029599,1.238642499,4,20.85246342,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
235,97T,Tassel,ROWVT,CRN,1,"right3 ,up2",97T-ROWVT-CRN-V1-P1,4,LC1586TC,1,685,1,122,35.69849,-80.62472,225.5,34.88,55.27,1.32,17.45,2.45,0.47,0.17,0.36,903.78,63.6,0.263,178.9975727,58,46,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/19/2019,220,278.36,4.7,34.9,1079.74,8.5,21.6,no external sensor,5.940029599,1.238642499,4,20.85246342,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
236,98E,Ear,ROWVT,CRN,2,"right4 ,up4",98E-ROWVT-CRN-V3-P1,4,66G25,3,723,1,145,35.69866,-80.62472,223.8,NA,NA,NA,20.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/24/2019,220,311.5,6.6,34.9,1079.74,8.5,21.6,same as measurement for tassel,5.383697804,1.42429593,4,26.45571839,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
237,98T,Tassel,ROWVT,CRN,2,"right4 ,up4",98T-ROWVT-CRN-V3-P1,4,66G25,3,723,1,145,35.69866,-80.62472,223.8,36.52,51.94,0.92,16.2,2.34,0.42,0.19,0.39,1335.13,49.54,0.247,NA,NA,45,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/19/2019,220,278.36,4.7,34.9,1079.74,8.5,21.6,no external sensor,5.383697804,1.42429593,4,26.45571839,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
238,99E,Ear,ROWVT,CRN,3,"right11 ,up4",99E-ROWVT-CRN-V2-P1,4,LC1289,2,714,1,138,35.69865,-80.6246,232.5,NA,NA,NA,21.63,NA,NA,NA,NA,NA,NA,NA,163.1937989,56.6,39,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/24/2019,220,311.5,6.6,34.9,1079.74,8.5,21.6,same as measurement for tassel,7.163123647,1.024398488,4,14.30100245,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
239,99T,Tassel,ROWVT,CRN,3,"right11 ,up4",99T-ROWVT-CRN-V2-P1,4,LC1289,2,714,1,138,35.69865,-80.6246,232.5,37.18,48.49,0.12,17.71,2.06,0.49,0.17,0.35,1040.23,58.83,0.523,163.1937989,56.6,39,Lloyd clay loam,Clay Loam,7.9,0.18,6.4,45.6,101.66,85320,27858.56,230.24,6.68,5.2,7/19/2019,220,278.36,4.7,34.9,1079.74,8.5,21.6,no external sensor,7.163123647,1.024398488,4,14.30100245,"; Average yields, no disease pressure.  Planted in same field as 2018 wheat test"
19,109E,Ear,YADVT,CRN,1,"right22 ,up1",109E-YADVT-CRN-V1-P1,5,LC1586TC,1,685,1,122,36.47486,-80.64001,294.8,NA,NA,NA,21.92,NA,NA,NA,NA,NA,NA,NA,199.6432448,59.5,56,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,8/2/2019,323,487.55,4.7,34,1198.65,7.7,20.5,same as measurement for tassel,7.27493362,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
20,109T,Tassel,YADVT,CRN,1,"right22 ,up1",109T-YADVT-CRN-V1-P1,5,LC1586TC,1,685,1,122,36.47486,-80.64001,294.8,36.75,48.74,-0.96,15.25,0.97,0.62,0.21,0.18,554.52,39.59,0.263,199.6432448,59.5,56,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,7/12/2019,323,454,1.9,33.3,1198.65,7.7,20.5,no external sensor,7.27493362,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
21,110E,Ear,YADVT,CRN,2,"right4 ,up2",110E-YADVT-CRN-V3-P1,5,66G25,3,723,1,145,36.47463,-80.64011,315.5,NA,NA,NA,23.54,NA,NA,NA,NA,NA,NA,NA,264.688302,58.2,60,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,8/2/2019,323,487.55,4.7,34,1198.65,7.7,20.5,same as measurement for tassel,7.40607263,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
22,110T,Tassel,YADVT,CRN,2,"right4 ,up2",110T-YADVT-CRN-V3-P1,5,66G25,3,723,1,145,36.47463,-80.64011,315.5,37.09,46.97,-0.44,13.91,0.88,0.64,0.19,0.17,721.74,60.42,0.4,264.688302,58.2,60,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,7/12/2019,323,454,1.9,33.3,1198.65,7.7,20.5,no external sensor,7.40607263,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
23,111E,Ear,YADVT,CRN,3,"right11 ,up2",111E-YADVT-CRN-V2-P1,5,LC1289,2,714,1,138,36.4742,-80.64012,318,NA,NA,NA,21.08,NA,NA,NA,NA,NA,NA,NA,242.16561,57.9,53,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,8/2/2019,323,487.55,4.7,34,1198.65,7.7,20.5,same as measurement for tassel,6.948860994,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
24,111T,Tassel,YADVT,CRN,3,"right11 ,up2",111T-YADVT-CRN-V2-P1,5,LC1289,2,714,1,138,36.4742,-80.64012,318,37.49,45.91,-1.1,10.7,0.65,0.66,0.21,0.13,340.56,57.97,0.517,242.16561,57.9,53,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,7/12/2019,323,454,1.9,33.3,1198.65,7.7,20.5,no external sensor,6.948860994,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
25,112E,Ear,YADVT,CRN,4,"right4 ,up3",112E-YADVT-CRN-V1-P2,5,LC1586TC,1,685,2,204,36.47462,-80.64021,293.8,NA,NA,NA,26.77,NA,NA,NA,NA,NA,NA,NA,259.578784,56.6,56,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,8/2/2019,323,487.55,4.7,34,1198.65,7.7,20.5,same as measurement for tassel,6.301479638,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
26,112T,Tassel,YADVT,CRN,4,"right4 ,up3",112T-YADVT-CRN-V1-P2,5,LC1586TC,1,685,2,204,36.47462,-80.64021,293.8,36.88,49.22,-0.35,18.18,1.22,0.53,0.21,0.26,957.01,52.17,0.36,259.578784,56.6,56,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,7/12/2019,323,454,1.9,33.3,1198.65,7.7,20.5,no external sensor,6.301479638,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
27,113E,Ear,YADVT,CRN,5,"right7 ,up3",113E-YADVT-CRN-V3-P2,5,66G25,3,723,2,207,36.47467,-80.64022,283.3,NA,NA,NA,26.76,NA,NA,NA,NA,NA,NA,NA,217.6133093,58.7,48,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,8/2/2019,323,487.55,4.7,34,1198.65,7.7,20.5,same as measurement for tassel,6.150085571,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
28,113T,Tassel,YADVT,CRN,5,"right7 ,up3",113T-YADVT-CRN-V3-P2,5,66G25,3,723,2,207,36.47467,-80.64022,283.3,36.57,49.98,-1.34,19.32,0.81,0.59,0.23,0.18,691.72,52.13,1.033,217.6133093,58.7,48,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,7/12/2019,323,454,1.9,33.3,1198.65,7.7,20.5,no external sensor,6.150085571,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
29,114E,Ear,YADVT,CRN,6,"right11 ,up4",114E-YADVT-CRN-V2-P2,5,LC1289,2,714,2,238,36.47473,-80.64034,266.3,NA,NA,NA,27.79,NA,NA,NA,NA,NA,NA,NA,290.2620349,57.6,51,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,8/2/2019,323,487.55,4.7,34,1198.65,7.7,20.5,same as measurement for tassel,6.229860053,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
30,114T,Tassel,YADVT,CRN,6,"right11 ,up4",114T-YADVT-CRN-V2-P2,5,LC1289,2,714,2,238,36.47473,-80.64034,266.3,37.16,47.61,-1.13,15.65,0.62,0.64,0.22,0.14,409.64,56.5,1.063,290.2620349,57.6,51,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,7/12/2019,323,454,1.9,33.3,1198.65,7.7,20.5,no external sensor,6.229860053,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
31,115E,Ear,YADVT,CRN,7,"right12 ,up5",115E-YADVT-CRN-V1-P3,5,LC1586TC,1,685,3,312,36.47469,-80.64041,270,NA,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,285.3852298,58.6,60,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,8/2/2019,323,487.55,4.7,34,1198.65,7.7,20.5,same as measurement for tassel,6.778107014,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
32,115T,Tassel,YADVT,CRN,7,"right12 ,up5",115T-YADVT-CRN-V1-P3,5,LC1586TC,1,685,3,312,36.47469,-80.64041,270,36.57,49.45,-1.77,13.35,0.55,0.67,0.21,0.12,257.81,50.45,0.427,285.3852298,58.6,60,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,7/12/2019,323,454,1.9,33.3,1198.65,7.7,20.5,no external sensor,6.778107014,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
33,116E,Ear,YADVT,CRN,8,"right13 ,up5",116E-YADVT-CRN-V2-P3,5,LC1289,2,714,3,313,36.47472,-80.64042,285,NA,NA,NA,24.66,NA,NA,NA,NA,NA,NA,NA,291.2143898,57.6,53,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,8/2/2019,323,487.55,4.7,34,1198.65,7.7,20.5,same as measurement for tassel,7.105982032,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
34,116T,Tassel,YADVT,CRN,8,"right13 ,up5",116T-YADVT-CRN-V2-P3,5,LC1289,2,714,3,313,36.47472,-80.64042,285,36.12,50.78,-0.83,15.7,1.46,0.55,0.2,0.25,770.73,39.28,0.473,291.2143898,57.6,53,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,7/12/2019,323,454,1.9,33.3,1198.65,7.7,20.5,no external sensor,7.105982032,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
35,117E,Ear,YADVT,CRN,9,"right14 ,up6",117E-YADVT-CRN-V3-P3,5,66G25,3,723,3,335,36.47472,-80.64053,280,NA,NA,NA,22.73,NA,NA,NA,NA,NA,NA,NA,243.373728,59.5,49,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,8/2/2019,323,487.55,4.7,34,1198.65,7.7,20.5,same as measurement for tassel,6.7482436,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
36,117T,Tassel,YADVT,CRN,9,"right14 ,up6",117T-YADVT-CRN-V3-P3,5,66G25,3,723,3,335,36.47472,-80.64053,280,37.29,49.72,0.74,15.53,1.24,0.56,0.2,0.24,940.77,67.46,0.62,243.373728,59.5,49,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,7/12/2019,323,454,1.9,33.3,1198.65,7.7,20.5,no external sensor,6.7482436,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
37,118E,Ear,YADVT,CRN,10,"right6 ,up7",118E-YADVT-CRN-V1-P4,5,LC1586TC,1,685,4,406,36.47461,-80.64062,263.3,NA,NA,NA,20.54,NA,NA,NA,NA,NA,NA,NA,200.3982357,59.3,NA,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,8/2/2019,323,487.55,4.7,34,1198.65,7.7,20.5,same as measurement for tassel,7.122492456,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
38,118T,Tassel,YADVT,CRN,10,"right6 ,up7",118T-YADVT-CRN-V1-P4,5,LC1586TC,1,685,4,406,36.47461,-80.64062,263.3,37.99,46.25,-0.35,10.93,2.07,0.5,0.17,0.33,1101.74,67.7,0.393,200.3982357,59.3,NA,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,7/12/2019,323,454,1.9,33.3,1198.65,7.7,20.5,no external sensor,7.122492456,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
39,119E,Ear,YADVT,CRN,11,"right7 ,up7",119E-YADVT-CRN-V3-P4,5,66G25,3,723,4,407,36.47463,-80.64062,272.5,NA,NA,NA,22.29,NA,NA,NA,NA,NA,NA,NA,233.8487064,59.2,NA,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,8/2/2019,323,487.55,4.7,34,1198.65,7.7,20.5,same as measurement for tassel,7.080284739,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
40,119T,Tassel,YADVT,CRN,11,"right7 ,up7",119T-YADVT-CRN-V3-P4,5,66G25,3,723,4,407,36.47463,-80.64062,272.5,38.15,48.55,-1.51,10.93,1.24,0.44,0.26,0.3,1351.52,59.01,0.967,233.8487064,59.2,NA,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,7/12/2019,323,454,1.9,33.3,1198.65,7.7,20.5,no external sensor,7.080284739,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
41,120E,Ear,YADVT,CRN,12,"right18 ,up7",120E-YADVT-CRN-V2-P4,5,LC1289,2,714,4,418,36.47475,-80.64063,290,NA,NA,NA,23.78,NA,NA,NA,NA,NA,NA,NA,281.5193259,57.7,NA,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,8/2/2019,323,487.55,4.7,34,1198.65,7.7,20.5,same as measurement for tassel,6.866579147,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
42,120T,Tassel,YADVT,CRN,12,"right18 ,up7",120T-YADVT-CRN-V2-P4,5,LC1289,2,714,4,418,36.47475,-80.64063,290,38.62,46.63,-0.62,16.63,0.86,0.61,0.21,0.18,729.87,53.96,0.567,281.5193259,57.7,NA,Colvard and suches,Loam,9.8,0.71,6.2,260.4,389.045,111720,22641.92,96,16.64,6.94,7/12/2019,323,454,1.9,33.3,1198.65,7.7,20.5,no external sensor,6.866579147,NA,1,NA,"; Very high yielding location, low levels of Gray Leaf Spot in field, stress from high wind event late in season after sampling"
